DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.1038/JHG.2013.38,Impact of polymorphisms in drug pathway genes on disease-free survival in adults with acute myeloid leukemia,"Sook Wah Yee, Joel Mefford, Natasha Singh, Mary Elizabeth Percival, Adrian Stecuła, Kuo Yang, John Witte, Atsushi Takahashi, Michiaki Kubo, Koichi Matsuda, Kathleen M. Giacomini, Charalambos Andreadis",Journal of Human Genetics,2013,"Acute myeloid leukemia (AML) is a clinically heterogeneous disease, with a 5-year disease-free survival (DFS) ranging from under 10% to over 70% for distinct groups of patients. At our institution, cytarabine, etoposide and busulfan are used in first or second remission patients treated with a two-step approach to autologous stem cell transplantation (ASCT). In this study, we tested the hypothesis that polymorphisms in the pharmacokinetic and pharmacodynamic pathway genes of these drugs are associated with DFS in AML patients. A total of 1659 variants in 42 genes were analyzed for their association with DFS using a Cox-proportional hazards model. One hundred and fifty-four genetically European patients were used for the primary analysis. An intronic single nucleotide polymorphism (SNP) in ABCC3 (rs4148405) was associated with a significantly shorter DFS (hazard ratios (HR)=3.2, P=5.6 × 10(-6)) in our primary cohort. In addition, a SNP in the GSTM1-GSTM5 locus, rs3754446, was significantly associated with a shorter DFS in all patients (HR=1.8, P=0.001 for 154 European ancestry; HR=1.7, P=0.028 for 125 non-European patients). Thus, for the first time, genetic variants in drug pathway genes are shown to be associated with DFS in AML patients treated with chemotherapy-based autologous ASCT.",b86d3281-aa31-4129-9496-c17827a48ea8,43,66,https://pubmed.ncbi.nlm.nih.gov/23677058
10.2174/1389200218666171101124931,Pharmacogenetics of Metabolic Genes of Anthracyclines in Acute Myeloid Leukemia.,"Juan Eduardo Megías‐Vericat, David Martínez‐Cuadrón, Marí­a José Herrero, Salvador F. Aliño, José Luís Poveda, Miguel Á. Sanz, Pau Montesinos",Current drug metabolism,2017,"BACKGROUND
Anthracyclines in combination with cytarabine have been the standard therapy for acute myeloid leukemia (AML) for decades with high efficacy. However, the majority of patients will show initial resistance or will relapse after initial complete remission. Genetic variability in genes involved in anthracyclines metabolic pathway could be one of the causes of the interindividual differences in clinical outcomes.


METHODS
A systematic review of published studies in AML cohorts was carried out in order to analyze the influence of polymorphisms in genes of anthracycline metabolism on efficacy and toxicity.


RESULTS
Polymorphisms in the main enzymes of anthracyclines metabolism (CBR, AKR, NQO1, NOS3) have been related to lower enzymatic activity and higher cardiotoxicity. Moreover, variant alleles in the genes of carcinogens and chemotherapy neutralizing enzymes (GST, SULT, NADP(H) oxidase) have been associated with ROS generation and drug efficacy, influencing the survival rates and cardiac toxicities. In addition, genetic variability in the transporters of anthracyclines could affect the intake in cells, including influx (SLC28A3, SLC22A12, SLCO1B1) and efflux transporters (ABCB1, ABCC1, ABCC3, ABCG2).


CONCLUSION
The knowledge of the role of pharmacogenetics in anthracyclines metabolism could explain the differences observed in their disposition in leukemic cells. These genetic variants are proposed biomarkers in clinical practice in order to individualize chemotherapy schemes, potentially increasing the effectiveness and reducing the toxicities.",8b6af1cd-5c9f-453e-956b-758893167a4a,34,0,https://pubmed.ncbi.nlm.nih.gov/29090664
10.1016/J.CURRPROBLCANCER.2021.100729,ABCC3 and GSTM5 gene polymorphisms affect overall survival in Polish acute myeloid leukaemia patients.,"Aleksandra Butrym, Piotr Łacina, Katarzyna Bogunia‐Kubik, Grzegorz Mazur",Current Problems in Cancer,2021,"Abstract   Acute myeloid leukaemia (AML) is a very heterogeneous malignancy in which standard treatment is based on chemotherapy. Resistance to chemotherapeutic agents remains a big problem in AML, because negatively influences patient overall survival. Several resistance mechanisms have been described, the best of which is the process of drug removal from the cell and/or nucleus by membrane transport proteins. The aim of the study was to investigate the effect of polymorphism of genes coding ABCC3, GSTM5 involved in the transport and metabolism of drugs. For this purpose 95 newly diagnosed AML patients and 125 healthy controls were genotyped. We showed that ABCC3 rs4148405 and GSTM5 rs3754446, but not ABCC33 rs4793665, affected overall survival in Polish AML patients.",004f08d8-3d37-4d5e-a2bd-5810819ff831,7,17,https://pubmed.ncbi.nlm.nih.gov/33714589
10.1080/17425255.2021.1876661,"ABCB1, ABCG2, ABCC1, ABCC2, and ABCC3 drug transporter polymorphisms and their impact on drug bioavailability: what is our current understanding?","Henrike Bruckmueller, Ingolf Cascorbi",Expert Opinion on Drug Metabolism & Toxicology,2021,Interindividual differences in drug response are a frequent clinical challenge partly due to variation in pharmacokinetics. ATP-binding cassette (ABC) transporters are crucial determinants of drug ...,061b7293-9051-478c-b445-6ee1336ad1a0,78,410,https://pubmed.ncbi.nlm.nih.gov/33459081
10.2217/PGS-2016-0055,Pharmacogenomics and the treatment of acute myeloid leukemia.,"Juan Eduardo Megías‐Vericat, Pau Montesinos, Marí­a José Herrero, Virginia Bosó, David Martínez‐Cuadrón, José Luís Poveda, Miguel Á. Sanz, Salvador F. Aliño",Pharmacogenomics,2016,"Acute myeloid leukemia (AML) is a clinically and biologically heterogeneous malignancy that is primarily treated with combinations of cytarabine and anthracyclines. Although this scheme remains effective in most of the patients, variability of outcomes in patients has been partly related with their genetic variability. Several pharmacogenetic studies have analyzed the impact of polymorphisms in genes encoding transporters, metabolizers or molecular targets of chemotherapy agents. A systematic review on all eligible studies was carried out in order to estimate the effect of polymorphisms of anthracyclines and cytarabine pathways on efficacy and toxicity of AML treatment. Other emerging genes recently studied in AML, such as DNA repair genes, genes potentially related to chemotherapy response or AML prognosis, have also been included.",01e87dbe-649e-4a92-82e2-f0bb14d121d6,32,123,https://pubmed.ncbi.nlm.nih.gov/27381050
10.3390/PHARMACEUTICS14040878,Systematic Review of Pharmacogenetics of ABC and SLC Transporter Genes in Acute Myeloid Leukemia,"Juan Eduardo Megías‐Vericat, David Martínez‐Cuadrón, Antonio Solana‐Altabella, José Luís Poveda, Pau Montesinos",Pharmaceutics,2022,"Antineoplastic uptake by blast cells in acute myeloid leukemia (AML) could be influenced by influx and efflux transporters, especially solute carriers (SLCs) and ATP-binding cassette family (ABC) pumps. Genetic variability in SLC and ABC could produce interindividual differences in clinical outcomes. A systematic review was performed to evaluate the influence of SLC and ABC polymorphisms and their combinations on efficacy and safety in AML cohorts. Anthracycline intake was especially influenced by SLCO1B1 polymorphisms, associated with lower hepatic uptake, showing higher survival rates and toxicity in AML studies. The variant alleles of ABCB1 were related to anthracycline intracellular accumulation, increasing complete remission, survival and toxicity. Similar findings have been suggested with ABCC1 and ABCG2 polymorphisms. Polymorphisms of SLC29A1, responsible for cytarabine uptake, demonstrated significant associations with survival and response in Asian populations. Promising results were observed with SLC and ABC combinations regarding anthracycline toxicities. Knowledge of the role of transporter pharmacogenetics could explain the differences observed in drug disposition in the blast. Further studies including novel targeted therapies should be performed to determine the influence of genetic variability to individualize chemotherapy schemes.",299685ae-af21-4784-944e-f273064173ef,17,129,https://pubmed.ncbi.nlm.nih.gov/35456712
10.1517/17425255.2015.981152,New insights in the biology of ABC transporters ABCC2 and ABCC3: impact on drug disposition,"Lori W. E. van der Schoor, Henkjan J. Verkade, Folkert Kuipers, Johan W. Jonker",Expert Opinion on Drug Metabolism & Toxicology,2015,"Introduction: For the elimination of environmental chemicals and metabolic waste products, the body is equipped with a range of broad specificity transporters that are present in excretory organs as well as in several epithelial blood-tissue barriers. Areas covered: ABCC2 and ABCC3 (also known as MRP2 and MRP3) mediate the transport of various conjugated organic anions, including many drugs, toxicants and endogenous compounds. This review focuses on the physiology of these transporters, their roles in drug disposition and how they affect drug sensitivity and toxicity. It also examines how ABCC2 and ABCC3 are coordinately regulated at the transcriptional level by members of the nuclear receptor (NR) family of ligand-modulated transcription factors and how this can be therapeutically exploited. Expert opinion: Mutations in both ABCC2 and ABCC3 have been associated with changes in drug disposition, sensitivity and toxicity. A defect in ABCC2 is associated with Dubin–Johnson syndrome, a recessively inherited disorder characterized by conjugated hyperbilirubinemia. Pharmacological manipulation of the activity of these transporters can potentially improve the pharmacokinetics and thus therapeutic activity of substrate drugs but also affect the physiological function of these transporters and consequently ameliorate associated disease states.",8ba4a430-8eb8-4b35-9dfa-a41a948b78d5,69,281,https://pubmed.ncbi.nlm.nih.gov/25380746
10.1002/JCPH.1533,Association of ABCC Gene Polymorphism With Susceptibility to Antituberculosis Drug–Induced Hepatotoxicity in Western Han Patients With Tuberculosis,"Hao Bai, Tao Wu, Lin Jiao, Qian Wu, Zhenzhen Zhao, Jiajia Song, Tangyuheng Liu, Yanghua Lv, Xiaojun Lu, Binwu Ying",Journal of clinical pharmacology,2020,"Six‐month combination regimens could lead to serious hepatotoxicity, which may limit the clinical use of antituberculosis drugs. ABCC transporters are critical to the influx and efflux of compounds into and out of cells. The aim of this study was to explore whether the genetic variants in ABCC genes were related to the development of antituberculosis drug–induced hepatotoxicity. Here, we screened and genotyped 39 single‐nucleotide polymorphisms of 13 ABCC genes in 746 eligible patients treated by first‐line antituberculosis drugs in Western China Hospital. Genomic DNA was extracted from a peripheral blood sample of each patient, and clinical symptoms and laboratory results were recorded regularly. We found that the incidence rate of hepatotoxicity was 15.8% in the western Chinese Han population. As a result, the ABCC2 rs3740065 genotype, sex, and the baseline level of alanine aminotransferase are independent risk factors of antituberculosis drug–induced hepatotoxicity, with P values of .008, .014, and <.001, respectively. Our findings revealed a fraction of the underlying mechanism of hepatotoxicity, and larger validation studies on different populations are warranted to confirm these findings.",2fd838d1-933b-46fd-bc84-1659c79c2f68,7,33,https://pubmed.ncbi.nlm.nih.gov/31648372
10.1007/S00439-020-02150-6,Ethnogeographic and inter-individual variability of human ABC transporters,"Qingyang Xiao, Yitian Zhou, Volker M. Lauschke",Human Genetics,2020,"ATP-binding cassette (ABC) transporters constitute a superfamily of 48 structurally similar membrane transporters that mediate the ATP-dependent cellular export of a plethora of endogenous and xenobiotic substances. Importantly, genetic variants in ABC genes that affect gene function have clinically important effects on drug disposition and can be predictors of the risk of adverse drug reactions and efficacy of chemotherapeutics, calcium channel blockers, and protease inhibitors. Furthermore, loss-of-function of ABC transporters is associated with a variety of congenital disorders. Despite their clinical importance, information about the frequencies and global distribution of functionally relevant ABC variants is limited and little is known about the overall genetic complexity of this important gene family. Here, we systematically mapped the genetic landscape of the entire human ABC superfamily using Next-Generation Sequencing data from 138,632 individuals across seven major populations. Overall, we identified 62,793 exonic variants, 98.5% of which were rare. By integrating five computational prediction algorithms with structural mapping approaches using experimentally determined crystal structures, we found that the functional ABC variability is extensive and highly population-specific. Every individual harbored between 9.3 and 13.9 deleterious ABC variants, 76% of which were found only in a single population. Carrier rates of pathogenic variants in ABC transporter genes associated with autosomal recessive congenital diseases, such as cystic fibrosis or pseudoxanthoma elasticum, closely mirrored the corresponding population-specific disease prevalence, thus providing a novel resource for rare disease epidemiology. Combined, we provide the most comprehensive, systematic, and consolidated overview of ethnogeographic ABC transporter variability with important implications for personalized medicine, clinical genetics, and precision public health.",38ee45cd-572a-466c-aa42-76acf90f5034,44,155,https://pubmed.ncbi.nlm.nih.gov/32206879
10.1007/S11899-014-0246-X,Identification and Utilization of Donor and Recipient Genetic Variants to Predict Survival After HCT: Are We Ready for Primetime?,"Lara E. Sucheston‐Campbell, Alyssa Clay‐Gilmour, Philip L McCarthy, Qianqian Zhu, Leah Preus, Marcelo C. Pasquini, Kenan Onel, Theresa Hahn",Current Hematologic Malignancy Reports,2015,"Overall survival following hematopoietic cell transplantation (HCT) has improved over the past two decades through better patient selection and advances in HLA typing, supportive care, and infection prophylaxis. Nonetheless, mortality rates are still unsatisfactory and transplant-related mortality remains a major cause of death after unrelated allogeneic HCT. Since there are no known pre-HCT, non-HLA biologic predictors of survival following transplant, for over a decade, scientists have been investigating the role of non-HLA germline genetic variation in survival and treatment-related mortality after HCT. Variation in single nucleotide polymorphisms (SNPs) has the potential to impact chemotherapy, radiation, and immune responses, leading to different post-HCT survival outcomes. In this paper, we address the current knowledge of the contribution of genetic variation to survival following HCT and discuss study design and methodology for investigating HCT survival on a genomic scale.",2d083a02-8716-462e-8430-065e349c3e35,14,105,https://pubmed.ncbi.nlm.nih.gov/25700678
